ODOMETRY 1.1670e-03 5.8881e-02 7.5871e-01
ODOMETRY -2.7320e-02 3.0490e-03 -5.2637e+00
ODOMETRY -2.1948e-01 -2.7737e-01 1.8819e-01
ODOMETRY -2.0613e-01 -1.9667e-01 -5.0148e-01
ODOMETRY -3.9383e-01 -1.9768e-02 5.6799e+00
ODOMETRY -4.5310e-01 3.2102e-01 -5.4169e-01
ODOMETRY -2.4514e-01 4.3468e-01 -5.7566e-01
ODOMETRY 1.9398e-02 4.3647e-01 -5.0335e-01
ODOMETRY 2.5343e-01 4.7650e-01 -1.1911e-01
ODOMETRY 2.4605e-01 5.0399e-01 -7.5195e-02
ODOMETRY 3.5492e-01 4.5264e-01 -1.5109e-01
ODOMETRY 3.7343e-01 4.4455e-01 -1.3487e-01
ODOMETRY 4.7103e-01 2.9285e-01 -3.4425e-01
ODOMETRY 5.1598e-01 1.1019e-01 -4.0353e-01
ODOMETRY 5.0649e-01 -1.4574e-01 -6.4921e-01
ODOMETRY 3.5321e-01 -3.6355e-01 -1.2511e-01
ODOMETRY 3.8308e-01 -4.1073e-01 -1.1730e-01
ODOMETRY 3.4158e-01 -4.6439e-01 -2.7801e-02
ODOMETRY 3.2942e-01 -5.4226e-01 -2.9774e-01
ODOMETRY 1.2288e-01 -6.0045e-01 -3.7059e-01
ODOMETRY -1.1835e-01 -5.8542e-01 -3.7597e-01
ODOMETRY -3.6810e-01 -5.8388e-01 -1.9865e-01
ODOMETRY -3.9942e-01 -5.3575e-01 -4.8690e-02
ODOMETRY -4.3149e-01 -5.5112e-01 1.9345e-02
ODOMETRY -4.2213e-01 -5.8999e-01 2.4900e-02
ODOMETRY -3.1838e-01 -4.0856e-01 1.2510e-03
ODOMETRY -4.1655e-01 -6.0116e-01 2.1857e-02
ODOMETRY -4.1033e-01 -6.0345e-01 1.3124e-02
ODOMETRY -2.8588e-01 -4.4713e-01 8.8830e-03
ODOMETRY -2.7362e-01 -4.0666e-01 -1.0054e-02
ODOMETRY -2.7945e-01 -4.3584e-01 1.6808e-02
ODOMETRY -2.8383e-01 -4.4439e-01 -3.1220e-03
ODOMETRY -2.7142e-01 -4.2033e-01 1.9212e-02
ODOMETRY -2.5603e-01 -4.2983e-01 1.8634e-02
ODOMETRY -3.5042e-01 -6.4235e-01 4.8251e-02
ODOMETRY -2.3965e-01 -4.5502e-01 1.8900e-02
ODOMETRY -3.2996e-01 -6.5427e-01 -4.4890e-03
ODOMETRY -2.3159e-01 -4.4675e-01 -6.1550e-03
ODOMETRY -3.4029e-01 -6.3010e-01 -4.3445e-02
ODOMETRY -3.9134e-01 -5.5197e-01 -3.9515e-01
ODOMETRY -4.8000e-01 -4.2326e-01 2.0038e-01
ODOMETRY -3.2208e-01 -5.1176e-01 3.4784e-01
ODOMETRY -1.3203e-01 -5.5931e-01 2.7978e-01
ODOMETRY -1.4173e-01 -5.3459e-01 -3.5335e-01
ODOMETRY -3.2908e-01 -4.6963e-01 -4.1357e-01
ODOMETRY -3.5610e-01 -3.9392e-01 3.7870e-01
ODOMETRY -1.0687e-01 -3.0202e-01 5.2448e-01
ODOMETRY 5.3137e-02 -2.8580e-01 6.2096e-01
ODOMETRY 1.9264e-01 -1.7062e-01 7.3229e-01
ODOMETRY 2.6735e-01 3.2144e-02 6.9283e-01
ODOMETRY 3.1961e-01 2.7030e-01 5.1071e-01
ODOMETRY 2.3028e-01 5.1164e-01 1.8090e-01
ODOMETRY 2.0837e-01 5.7882e-01 -1.7694e-02
ODOMETRY 2.4257e-01 6.6579e-01 -1.0676e-02
ODOMETRY 2.0852e-01 4.7743e-01 -7.4540e-03
ODOMETRY 1.7694e-01 4.3791e-01 -9.2850e-03
ODOMETRY 2.9922e-01 7.2058e-01 -2.5994e-02
ODOMETRY 2.4102e-01 4.9235e-01 -2.7054e-02
ODOMETRY 2.2697e-01 4.5700e-01 6.2800e-04
ODOMETRY 3.2378e-01 7.1275e-01 -1.0843e-02
ODOMETRY 2.1087e-01 4.6025e-01 8.5431e-02
ODOMETRY 1.7125e-01 4.8710e-01 1.6247e-02
ODOMETRY 2.6355e-01 7.1085e-01 2.4659e-02
ODOMETRY 2.8859e-01 6.7643e-01 -2.8384e-01
ODOMETRY 4.9895e-01 4.7761e-01 -4.8146e-01
ODOMETRY 6.8554e-01 1.8774e-01 -4.9907e-01
ODOMETRY 6.8399e-01 -6.8219e-02 -1.5635e-01
ODOMETRY 6.3009e-01 -1.4863e-01 -1.5985e-01
ODOMETRY 6.3660e-01 -2.6083e-01 -1.2464e-01
ODOMETRY 5.9264e-01 -3.5925e-01 -1.5442e-01
ODOMETRY 5.3703e-01 -4.3270e-01 -3.3590e-02
ODOMETRY 5.4245e-01 -4.4820e-01 -2.7801e-02
ODOMETRY 5.2195e-01 -4.4389e-01 -3.0179e-02
ODOMETRY 4.9079e-01 -4.4634e-01 -4.7580e-03
ODOMETRY 5.0797e-01 -4.2218e-01 2.8044e-02
ODOMETRY 4.6980e-01 -4.2301e-01 3.5120e-03
ODOMETRY 6.6702e-01 -5.2728e-01 -3.6588e-02
ODOMETRY 4.4671e-01 -4.2310e-01 -1.1496e-01
ODOMETRY 3.9762e-01 -4.5568e-01 -9.8273e-02
ODOMETRY 2.6791e-01 -4.8138e-01 -2.1176e-01
ODOMETRY 2.1723e-01 -4.8911e-01 2.4136e-02
ODOMETRY 2.5199e-01 -4.4918e-01 1.9082e-01
ODOMETRY 5.9253e-01 -5.6058e-01 3.7132e-01
ODOMETRY 4.6572e-01 -2.0755e-01 3.3125e-01
ODOMETRY 5.5573e-01 -8.3407e-02 2.4800e-01
ODOMETRY 5.7502e-01 6.3566e-02 3.5524e-01
ODOMETRY 5.5773e-01 2.5209e-01 9.5479e-02
ODOMETRY 5.4295e-01 2.7093e-01 1.5094e-01
ODOMETRY 4.9451e-01 4.0518e-01 1.8238e-01
ODOMETRY 5.5025e-01 6.4165e-01 1.3577e-01
ODOMETRY 4.3295e-01 5.2861e-01 2.6440e-03
ODOMETRY 3.7170e-01 5.1266e-01 2.3514e-02
ODOMETRY 3.7305e-01 5.0449e-01 2.1779e-02
ODOMETRY 3.3408e-01 5.4492e-01 7.0609e-02
ODOMETRY 3.4468e-01 5.5102e-01 7.5870e-03
ODOMETRY 3.2250e-01 5.9734e-01 -2.3390e-03
ODOMETRY 3.3180e-01 5.5231e-01 -8.4434e-02
ODOMETRY 3.7335e-01 5.3452e-01 -7.4240e-02
ODOMETRY 4.3314e-01 4.9366e-01 -5.7301e-02
ODOMETRY 4.8667e-01 5.1798e-01 1.0255e-02
ODOMETRY 4.9233e-01 5.5656e-01 6.6000e-04
ODOMETRY 4.4884e-01 5.4516e-01 1.8470e-02
ODOMETRY 4.5558e-01 5.4389e-01 4.9467e-02
ODOMETRY 4.1246e-01 5.7260e-01 4.7394e-02
ODOMETRY 4.0734e-01 5.5996e-01 -1.8714e-02
ODOMETRY 2.9899e-01 4.2008e-01 7.1500e-03
ODOMETRY 4.1637e-01 5.8668e-01 -9.0475e-02
ODOMETRY 3.0746e-01 3.4604e-01 -2.3604e-02
ODOMETRY 5.2420e-01 6.1295e-01 -2.0038e-02
ODOMETRY 3.4856e-01 3.5882e-01 -6.6030e-03
ODOMETRY 3.3990e-01 3.7507e-01 1.2400e-03
ODOMETRY 3.5280e-01 3.7145e-01 -3.1250e-03
ODOMETRY 4.9399e-01 5.4805e-01 6.9405e-02
ODOMETRY 3.2535e-01 4.2461e-01 -8.6010e-03
ODOMETRY 3.2709e-01 4.0539e-01 5.1043e-02
ODOMETRY 4.5404e-01 6.0203e-01 -8.6550e-03
ODOMETRY 3.1651e-01 4.0487e-01 -3.6767e-02
ODOMETRY 3.0692e-01 3.8115e-01 -2.6461e-02
ODOMETRY 5.2445e-01 5.5958e-01 -6.8987e-02
ODOMETRY 3.8166e-01 3.4475e-01 -2.7669e-02
ODOMETRY 3.8785e-01 3.3596e-01 -3.9849e-02
ODOMETRY 5.5080e-01 5.1097e-01 5.5530e-03
ODOMETRY 5.3273e-01 4.8159e-01 -1.2551e-02
ODOMETRY 3.9887e-01 3.4243e-01 1.1550e-01
ODOMETRY 4.0280e-01 5.6350e-01 2.9988e-01
ODOMETRY 1.9237e-01 6.5938e-01 5.7669e-01
ODOMETRY -1.8095e-01 6.1321e-01 5.0409e-01
ODOMETRY -4.4868e-01 4.8470e-01 2.7435e-01
ODOMETRY -5.8747e-01 3.4939e-01 3.5203e-01
ODOMETRY -7.5114e-01 1.4134e-01 -5.9526e+00
ODOMETRY -6.7933e-01 -1.0139e-01 3.5824e-01
ODOMETRY -6.4469e-01 -3.4324e-01 2.7827e-01
ODOMETRY -5.8268e-01 -4.5101e-01 3.1250e-03
ODOMETRY -4.2295e-01 -2.7358e-01 -1.6629e-01
ODOMETRY -4.7581e-01 -2.2097e-01 -2.2370e-01
ODOMETRY -5.2906e-01 -6.3920e-02 5.9870e+00
